Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Fatal.Serious,Total.People,Critical.Injury.Rate,Plane.Destroyed,Aircraft.Type
2022-06-10,Minor,Substantial,Aviat,A-1B,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Aviat A-1B
2022-06-11,Serious,Substantial,Piper,PA-23,2.0,,Personal,0.0,0.0,2.0,0.0,VMC,0.0,2.0,0.0,False,Piper PA-23
2022-06-12,Minor,Substantial,Piper,PA-24-250,1.0,,Personal,0.0,2.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Piper PA-24-250
2022-06-14,Non-Fatal,Substantial,Piper,PA-28-181,1.0,,Personal,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,False,Piper PA-28-181
2022-06-15,Non-Fatal,Substantial,Cirrus,SR22,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cirrus SR22
2022-06-16,Serious,Substantial,Cessna,172M,1.0,,Personal,0.0,0.0,3.0,0.0,VMC,0.0,3.0,0.0,False,Cessna 172M
2022-06-16,Non-Fatal,Substantial,Bellanca,17-30A,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Bellanca 17-30A
2022-06-17,Non-Fatal,Substantial,Cessna,172G,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 172G
2022-06-18,Fatal,Destroyed,Beech,E35,1.0,,Instructional,2.0,0.0,0.0,0.0,VMC,2.0,2.0,1.0,True,Beech E35
2022-06-18,Non-Fatal,Substantial,Mooney,M20E,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Mooney M20E
2022-06-19,Non-Fatal,Substantial,Cessna,172S,1.0,,Instructional,0.0,0.0,0.0,4.0,VMC,0.0,4.0,0.0,False,Cessna 172S
2022-06-19,Non-Fatal,Substantial,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-38-112
2022-06-20,Non-Fatal,Substantial,Piper,PA-20,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-20
2022-06-20,Non-Fatal,Substantial,Piper,PA-32R-301T,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,0.0,4.0,0.0,False,Piper PA-32R-301T
2022-06-21,Non-Fatal,,Boeing,737-9,2.0,,,0.0,0.0,0.0,174.0,,0.0,174.0,0.0,False,Boeing 737-9
2022-06-21,Serious,Substantial,Cessna,P210N,1.0,Reciprocating,Personal,0.0,3.0,1.0,0.0,VMC,3.0,4.0,0.75,False,Cessna P210N
2022-06-21,Non-Fatal,Substantial,Aeronca,7AC,1.0,,Instructional,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,False,Aeronca 7AC
2022-06-22,Non-Fatal,Substantial,Cessna,182P,1.0,,,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,False,Cessna 182P
2022-06-24,Fatal,Substantial,Cessna,152,1.0,,Instructional,2.0,0.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Cessna 152
2022-06-25,Fatal,Destroyed,Mooney,M20J,1.0,,Personal,2.0,0.0,0.0,0.0,VMC,2.0,2.0,1.0,True,Mooney M20J
2022-06-25,Non-Fatal,Substantial,Piper,PA-24-250,1.0,,Personal,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,False,Piper PA-24-250
2022-06-26,Serious,Substantial,Piper,PA-24-250,1.0,,Personal,0.0,0.0,2.0,0.0,VMC,0.0,2.0,0.0,False,Piper PA-24-250
2022-06-26,Non-Fatal,Substantial,Cessna,208,1.0,Turbo Prop,,0.0,0.0,0.0,8.0,VMC,0.0,8.0,0.0,False,Cessna 208
2022-06-26,Non-Fatal,Substantial,De Havilland,BEAVER U-6A,1.0,Reciprocating,Business,0.0,0.0,0.0,7.0,VMC,0.0,7.0,0.0,False,De Havilland BEAVER U-6A
2022-06-27,Non-Fatal,Substantial,Cessna,140,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 140
2022-06-27,Non-Fatal,Substantial,Piper,PA-24-260,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-24-260
2022-06-27,Fatal,Substantial,Piper,PA-20-135,1.0,,Personal,2.0,0.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Piper PA-20-135
